Registro ANS;CNPJ;RazÆo Social;Nome Fantasia;Modalidade;Logradouro;N£mero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endere‡o eletr“nico;Representante;Cargo Representante;Data Registro ANS
419907;2,28916E+13;AFFIANCE LIFE ADMINISTRADORA DE BENEFÖCIOS EM SAéDE LTDA;AFFIANCE LIFE BENEFÖCIOS;Administradora de Benef¡cios;RUA GUAJAJARAS;40;SALA 404;CENTRO;Belo Horizonte;MG;30180910;31;25335500;;atendimento@affiancelife.com.br;CIRLEIDE REGINA DA SILVA MORAES;SOCIO ADMINISTRADOR;23/09/2015
417424;1,11585E+13;AFFIX ADMINISTRADORA DE BENEFÖCIOS LTDA;AFFIX BENEFÖCIOS;Administradora de Benef¡cios;RUA DR. BRµULIO GOMES;36;18ø ANDAR- SALA  ADMINISTRADORA;REPéBLICA;SÆo Paulo;SP;1047020;11;39952217;;pedro.rezende@affixbeneficios.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;S¢CIO ADMINISTRADOR;16/07/2010
368920;2,03205E+13;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;AutogestÆo;AVENIDA PURDUE;S/N;;CAMPUS DA UFV;Vi‡osa;MG;36570900;31;38996550;38996550;dge@agros.org.br;CLAUDIO FURTADO SOARES;DIRETOR GERAL;18/12/1998
417742;1,03873E+13;ALACORâ CASF ASSOCIA€ÇO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benef¡cios;AVENIDA RIO BRANCO;131;10¦ ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;21040006;21;25054500;;RODRIGO.PEIXOTO@ALACORO.COM.BR;ANADIA BIENHACHEWSKI FERREIRA ALVES;DIRETORA PRESIDENTE;20/12/2010
418684;3,64028E+13;ALBUQUERQUE ADMINISTRA€ÇO DE BENEFICIOS S/C LTDA.;;Administradora de Benef¡cios;RUA NICANOR SANTOS;61;FUNDOS;CENTRO;Jer“nimo Monteiro;ES;29550000;21;35531692;;LEONARDO@CHEVITARESE.COM.BR;JONAS VICENTE DE ALBUQUERQUE;ADMINISTRADOR;10/12/2012
416975;6,25881E+12;ALCANCE SAéDE EIRELI;ALCANCE SAéDE;Medicina de Grupo;RUA TORRES HOMEM;169;;CENTRO;Ara‡atuba;SP;16010360;18;21034508;;drevaldo@terra.com.br;GISLENE TOQUETÇO DE ARAéJO SANCHEZ;REPRESENTANTE;03/07/2009
421928;3,42666E+13;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo;Rua Lisboa;224;;Cerqueira C‚sar;SÆo Paulo;SP;5413000;11;41186896;;regulatorio@alice.com.br;MATHEUS HERMSDORFF MORAES;Diretor;01/11/2019
417289;7,67459E+12;ALL CARE ADMINISTRADORA DE BENEFÖCIOS SÇO PAULO LTDA;;Administradora de Benef¡cios;ALAMEDA SANTOS;1357;2§ e 7§ ANDAR;JARDIM PAULISTA;SÆo Paulo;SP;1419908;11;32556444;;ans@allcare.com.br;FARIAS PEREIRA DE SOUZA;DIRETOR PRESIDENTE;14/05/2010
417459;1,11656E+13;ALLCARE ADMINISTRADORA DE BENEFÖCIOS EM SAéDE LTDA.;ALLCARE ADMINISTRADORA DE BENEFÖCIOS EM SAéDE;Administradora de Benef¡cios;SCS QD. 03 BLOCO A;LOTE;107/111;ASA SUL;Bras¡lia;DF;70303907;61;30443600;30443615;ans@allcare.com.br;FARIAS PEREIRA DE SOUSA ;DIRETOR PRESIDENTE;16/07/2010
422177;3,59334E+13;ALLDEN ASSISTÒNCIA MDICA E ODONTOLàGICA LTDA;ALLDEN SAéDE;Odontologia de Grupo;RUA DAS FIGUEIRAS;LOTE 7;LOJA 79;AGUAS CLARAS;Bras¡lia;DF;71906750;61;37729707;;geander.santos@alldensaude.com.br;NOEME MARIA ACIOLI OSTERNE COELHO;REPRESENTANTE LEGAL;12/03/2020
515;4,43963E+12;ALLIANZ SAéDE S/A;;Seguradora Especializada em Sa£de;RUA EUGÒNIO DE MEDEIROS;303;7§ ANDAR - PARTE;PINHEIROS;SÆo Paulo;SP;5425000;11;40015060;;compliance@allianz.com.br;MATTHIAS KšHN;DIRETOR;06/08/2001
417807;1,25843E+13;ALPER ADMINISTRADORA DE BENEFICIOS LTDA;ALPER ADMINISTRADORA DE BENEFICIOS LTDA;Administradora de Benef¡cios;RUA GILBERTO SABINO;215;13§ ANDAR;PINHEIROS;SÆo Paulo;SP;5425020;11;31752900;;controladoria@brinsurance.com.br;LUCAS MORENO NEVES;DIRETOR FINANCEIRO;24/01/2011
419982;2,04593E+13;ALPHA DENTAL PLANO DE SAUDE LTDA ME;DENTALMED;Odontologia de Grupo;AVENIDA DAS SIBIPIRUNAS;2656;1§ ANDAR, SALA 03;SETOR COMERCIAL SUL;Sinop;MT;78550029;66;35310070;;;IVAN DALL' STELLA COSTA JéNIOR;S¢CIO GERENTE;09/12/2015
422754;4,02469E+13;ALPHA SERVI€OS DE SAéDE LTDA;ALPHA SAéDE;Medicina de Grupo;Avenida Brigadeiro Faria Lima;2391;Conj 11;Jardim Paulistano;SÆo Paulo;SP;1452905;11;30322449;;adm@alphassaude.com.br;RAIMUNDO DA SILVA REZENDE;Representante junto … ANS;19/05/2021
420255;2,21031E+13;ALTER ADMINISTRADORA DE BENEFICIOS LTDA - EPP;;Administradora de Benef¡cios;RUA CAPITÇO ADELMIO NORBERTO DA SILVA;395;SALA 01;ALTO DA BOA VISTA;RibeirÆo Preto;SP;14025670;16;39779072;;ALTERADM@UOL.COM.BR;CARLOS JOS FOIZER;ADMINISTRADOR;25/10/2016
344800;6,2511E+13;ALVORECER - ASSOCIA€ÇO DE SOCORROS MéTUOS;ALVORECER;Medicina de Grupo;RUA EZEQUIEL FREIRE;192;13§ ANDAR, SALA 1308;SANTANA;SÆo Paulo;SP;2034000;11;30169402;69593199;rogerio.proft@bluemedsaude.com.br;SILVIO JOS FERRAZ TAVARES;PRESIDENTE;15/01/1999
419052;1,6927E+13;AMAZâNIA PLANOS DE SAéDE LTDA;PLANO AMAZâNIA SAéDE;Medicina de Grupo;TRAVESSA NOVE DE JANEIRO;1295;;SÇO BRAZ;Bel‚m;PA;66060575;91;31847688;32495686;AMASAUDE@HOTMAIL.COM;EDSON YUZUR YASOJIMA;REPRESENTANTE LEGAL;03/10/2013
304531;1,71439E+13;AME-ASSISTÒNCIA MDICA A EMPRESAS LTDA;AME-SISTEMA DE SAéDE 24 HORAS;Medicina de Grupo;RUA SAMPAIO;376;;CENTRO;Juiz de Fora;MG;36010360;32;21015600;32155201;amesaude24h@terra.com.br;ALOYSIO JOÇO FELLET;SàCIO-ADMINISTRADOR;22/12/1998
413330;4,25707E+12;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo;RUA ARAGUAIA;13;;JACAREPAGUA;Rio de Janeiro;RJ;22745270;21;22216390;25091083;amep.operadora@uol.com.br;ANA MARLI VIDEIRA PEIXOTO FAZZINI;SOCIA GERENTE;16/03/2001
394734;6,784E+13;AMEPLAN ASSISTÒNCIA MDICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MDICA PLANEJADA  LTDA.;Medicina de Grupo;RUA UBATU MIRIM;45;3§ ANDAR;VILA GEA;SÆo Paulo;SP;4692010;11;27661830;21978674;diretoria.financeira@ameplansaude.com.br;ALI HUSSEIN  IBRAHIN TAHA;SàCIO DIRETOR;24/12/1998
321338;8,46383E+13;AMERON - ASSISTÒNCIA MDICA RONDâNIA S/A.;AMERON;Medicina de Grupo;AVENIDA CALAMA;2615;PRDIO;LIBERDADE;Porto Velho;RO;76803884;69;32117199;32217157;ouvidoria@ameron.com.br;PAULO ROBERTO DA SILVA;PRESIDENTE;22/12/1998
401081;6,8668E+13;AMESC - ASSOCIA€ÇO MDICA ESPÖRITA CRISTÇ;GRUPO CEMERU SAéDE;Medicina de Grupo;RUA FELIPE CARDOSO;1025;;SANTA CRUZ;Rio de Janeiro;RJ;23510006;21;33654040;33654040;cemeru.ans@gmail.com;RICARDO VIEIRA;REPRESENTANTE;24/02/1999
418587;1,51311E+13;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo;RUA PEDRO CUNHA;88;;VILA SANTISTA;Atibaia;SP;12941020;11;44146023;;antonio.oliveira@amha.com.br;SHUHATIRO WADA;DIRETOR GERAL E CORPORATIVO;08/10/2012
421731;2,91749E+13;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo;AVENIDA DOUTOR ARMANDO SALES DE OLIVEIRA;59;SALAS 01/02;JARDIM MARITA;Sorocaba;SP;18060370;15;30351030;;marcio@alvescorretora.com;MARCIO ALVES;Representante Perante ANS;13/06/2019
326305;2,93091E+13;AMIL ASSISTÒNCIA MDICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo;Rua Arquiteto Olavo Redig de Campos;105;6ø ao 21ø and, Torre B, Emp. EZ Towers;VILA FRANCISCO;SÆo Paulo;SP;4711904;21;38054491;38051088;representanteans@amil.com.br;CAROLINA DE MOLLA LORENZATTO;REPRESENTANTE LEGAL;17/12/1998
420662;2,61435E+13;AMORIM ADMINISTRADORA DE BENEFÖCIOS;A4 ADMINISTRADORA DE BENEFÖCIOS;Administradora de Benef¡cios;RUA DO ROSµRIO;0001;SALA 401;CENTRO;Rio de Janeiro;RJ;20041003;21;988825467;;bethlopes@icloud.com;ELIZABETH DE BRITO LOPES;Diretora Presidente;13/12/2016
413755;4,38845E+12;AMP SAUDE LTDA;;Medicina de Grupo;RUA DR. URBANO FIGUEIRA;32;;CENTRO;Taubat‚;SP;12020140;12;21239205;;administrativo@ampsaude.com.br;JOSE DOMINGOS ABREU DE ANDRADE;DIRETOR;28/05/2001
325465;2,09469E+13;AMPARA ASSISTÒNCIA MDICA PARAÖSO LTDA;AMPARA ;Medicina de Grupo;P€ COMENDADOR JOÇO PIO FIGUEIREDO WESTIN;107;;MOCOQUINHA;SÆo SebastiÆo do Para¡so;MG;37950000;35;35313600;35313600;ampara@ampara.com.br;GILBERTO GON€ALVES;DIRETOR PRESIDENTE;21/12/1998
422720;4,10775E+13;AMPLA PLANOS DE SAUDE  LTDA;AMPLA  ;Medicina de Grupo;RUA SETE DE SETEMBRO ;55;SALA 1106;CENTRO;Rio de Janeiro;RJ;20050004;21;39235406;;CURADO.JOAO@GMAIL.COM;JOÇO DE FIGUEIREDO PEREIRA CURADO;SOCIO - ADMINISTRADOR;06/04/2021
400882;2,81137E+12;µPICE ODONTO ASSISTÒNCIA ODONTOLàGICA LTDA;µPICE-ODONTO ASSISTÒNCIA ODONTOLàGICA LTDA.;Odontologia de Grupo;R. ELPIDIO GOMES;1262;;CENTRO;SertÆozinho;SP;14160620;16;39459143;39459143;apiceodonto@apiceodonto.com.br;VANDERLEI DE SOUZA JUNIOR;SàCIO DIRETOR;19/02/1999
418030;1,31389E+13;A.P.S. ADMINISTRADORA DE BENEFÖCOS LTDA.;A.P.S. SAéDE.;Administradora de Benef¡cios;RUA VOLUNTµRIOS DA PµTRIA;2525;CONJUNTO 143 - SALA 01;SANTANA;SÆo Paulo;SP;2401000;11;45223468;;diretoria@apssaude.com.br;PERCÖVEL GAETA;S¢CIO-ADMINISTRADOR E REPRESEN;05/05/2011
406708;5,39806E+11;A.P.S ASSISTÒNCIA PERSONALIZADA · SAéDE LTDA;APS;Medicina de Grupo;RUA VINTE E TRÒS DE MAIO;790;MEZANINO;VIANELO;Jundia¡;SP;13207070;1;145831234;145831234;controladoria@gruposobam.com.br;CAROLINA DE MOLLA LORENZATTO;REPRESENTANTE;29/07/1999
421693;3,09025E+13;AQQUER - ADMINISTRADORA DE BENEFÖCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de Benef¡cios;Rua BarÆo de Melga‡o;2754;Sala 406;Centro;Cuiab ;MT;78020800;65;36244416;;aqquer@aqquer.com.br;GABRIEL DUTRA;REPRESENTANTE LEGAL;24/05/2019
416070;1,74697E+13;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;AutogestÆo;AV. CARANDAI;1115;;FUNCIONARIOS;Belo Horizonte;MG;30130915;27;33481463;33481489;beneficios@arcelormittal.com.br;NAILSON ROVETA;GERENTE DE µREA DE BENEFICIOS;21/05/2007
352152;7,43507E+11;ARM ODONTOLOGIA LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo;RUA MACHADO BITTENCOURT;361;CONJUNTOS 1110 / 1111 e 1112 ;VILA CLEMENTINO;SÆo Paulo;SP;4044001;11;35155400;35155400;alexandre@armodonto.com.br;ALEXANDRE DE SOUZA MARTINELLI;DIRETOR;21/12/1998
417769;1,20805E+13;ASSISTE ADMINISTRADORA DE BENEFÖCIOS LTDA;ASSISTE ;Administradora de Benef¡cios;RUA JOÇO HIPàLITO DE AZEVEDO;18;SALA 3 - TRREO;CENTRO;Concei‡Æo do Jacu¡pe;BA;44245000;75;32432937;;bruno@assisteadministradora.com.br;BRUNO EDELWEISS;SàCIO-ADMINISTRADOR;20/12/2010
325236;6,68548E+13;ASSISTÒNCIA MDICA SÇO MIGUEL LTDA;SÇO MIGUEL SAéDE;Medicina de Grupo;RUA µLVARO CORREA BORGES;43;ED. GILBERTO MAIDA MELLACE;VILA DR. EIRAS;SÆo Paulo;SP;8010200;;;;saomiguelsaude@uol.com.br;CARLOS ALBERTO FERNANDES MELLACI;DIRETOR;21/12/1998
365297;1,87259E+12;ASSISTÒNCIA ODONTOLàGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo;AVENIDA UNIVERSIDADE;28;QUADRA 03;COHAFUMA;SÆo Lu¡s;MA;65070650;98;32365159;32355308;odmaster@portalma.com.br;MARCIA CHRISTINA VRAS BARBOSA;DIRETORA TCNICA;22/12/1998
406554;8,33673E+13;ASSOCIA€ÇO ADVENTISTA NORTE BRASILEIRA DE PREVEN€ÇO E ASSISTÒNCIA A SAéDE;GARANTIA DE SAéDE - HOSPITAIS ADVENTISTA DE BELM E MANAUS;Filantropia;RODOVIA MARIO COVAS;400;;COQUEIRO;Ananindeua;PA;67110000;91;32144500;32451585;clairton@hab.org.br;JACKSON DOUGLAS DA SILVA FREIRE;GERENTE;21/07/1999
411752;3,84945E+12;ASSOCIA€ÇO ASSISTENCIAL DE SAéDE SUPLEMENTAR CRUZ AZUL SAéDE;CRUZ AZUL SAéDE;Medicina de Grupo;RUA ALBUQUERQUE MARANHÇO;72;;CAMBUCI;SÆo Paulo;SP;1540020;11;33885000;33885010;diretoria@cruzazulsaude.com.br;JOAO CLAUDIO VALERIO;REPRESENTANTE JUNTO · ANS;21/07/2000
340146;6,17408E+13;ASSOCIA€ÇO AUXILIADORA DAS CLASSES LABORIOSAS;CLASSES LABORIOSAS;Medicina de Grupo;RUA RÒGO FREITAS;574;;CENTRO;SÆo Paulo;SP;1220010;11;32933934;32933852;juridico@classeslaboriosas.org.br;GERALDO FERNANDES;PRESIDENTE DA DIRETORIA EXECUTIVA;18/12/1998
322326;2,53358E+13;ASSOCIA€ÇO BENEFICENTE CATàLICA;HOSPITAL SANTA ISABEL;Filantropia;RUA FREI CORNELIO;200;;LAURINDO DE CASTRO;Ub ;MG;36500000;32;35391034;35391050;planosaude@santaisabelsaude.com.br;FABIANO DOS SANTOS;PRESIDENTE;29/12/1998
304131;2,03025E+12;ASSOCIA€ÇO BENEFICENTE DE ASSISTÒNCIA A SAéDE DOS JUÖZES DO TRABALHO DA 15¦ REGIÇO (ABAS 15);SAéDE ABAS;AutogestÆo;RUA BARÇO DE JAGUARA;707;10§ ANDAR / SALAS 101/104 - BLOCO MOZART;CENTRO;Campinas;SP;13015926;19;37335060;;falecom@abas15.org.br;EINSTEIN ROMERO DURÇES;REPRESENTANTE LEGAL;22/12/1998
382540;3,1241E+13;ASSOCIA€ÇO BENEFICENTE DOS PROFESSORES PéBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;APPAI;Medicina de Grupo;RUA SENADOR DANTAS;117;SLJ 211,212,213;CENTRO;Rio de Janeiro;RJ;20034900;21;31473242;25320563;appai@appai.org.br;JULIO CESAR DA COSTA;DIRETOR PRESIDENTE;19/01/1999
415049;6,08786E+13;ASSOCIA€ÇO BENEFICENTE FNV;ASSOCIA€ÇO BENEFICENTE FNV;AutogestÆo;RUA MAJOR HERMàGENES;28;;CENTRO;Cruzeiro;SP;12701320;12;31440047;31440072;jsoares@abfnv.com.br;PAULO MµRCIO ALMADA DOS SANTOS;PRESIDENTE DO CONSELHO GERAL;30/11/2004
413941;4,06781E+12;ASSOCIA€ÇO BRASILEIRA DE ASSISTÒNCIA ODONTOLOGICA DE GRUPO - DENTAL MED CENTER;DENTAL MED CENTER;Odontologia de Grupo;AVENIDA RIO BRANCO;440;;CENTRO;Natal;RN;59025000;84;32122256;31335798;dentalmedcenter@hotmail.com;LUCIANO OLIVEIRA DOS SANTOS;DIRETOR PRESIDENTE;19/06/2001
409634;7,35653E+13;ASSOCIACAO CIVIL PRà-SAéDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo;RUA SENADOR PINHEIRO MACHADO;446;;CENTRO;Ponta Grossa;PR;84040310;42;32203301;32203391;pro-saude.uepg@uol.com.br;CARLOS LUCIANO SANT'ANA VARGAS;REPRESENTANTE;05/11/1999
417947;1,09355E+13;ASSOCIA€ÇO DA SANTA CASA SAéDE DE RIBEIRÇO PRETO;SANTA CASA SAéDE DE RIBEIRÇO PRETO;Medicina de Grupo;AVENIDA DA SAUDADE;356;;CAMPOS ELISEOS;RibeirÆo Preto;SP;14085000;16;360506606;39778868;ADM@SANTACASARP.COM.BR;WALDEMAR DEL ARCO JUNIOR;ADVOGADO;31/03/2011
416690;7,78135E+12;ASSOCIA€ÇO DE ASSISTÒNCIA · SAéDE DA AMAGIS;AMAGIS SAéDE;AutogestÆo;RUA ALBITA;194;6§ ANDAR;BAIRRO CRUZEIRO;Belo Horizonte;MG;30310160;31;30793479;30793484;saude@amagis.com.br;ROSIMERE DAS GRA€AS DO COUTO;VICE PRESIDENTE E MEMBRO NATO;30/06/2008
416568;8,20204E+12;ASSOCIA€ÇO DE ASSISTÒNCIA · SAéDE DOS EMPREGADOS DA COPASA;COPASS SAéDE;AutogestÆo;RUA CARANGOLA;531;;SANTO ANT“NIO;Belo Horizonte;MG;30330240;31;32985820;32985801;copass@copass-saude.com.br;OMAR DE CARVALHO GOMES FILHO;REPRESENTANTE E SUPER EXECUTIV;18/02/2008
417955;7,94502E+12;ASSOCIA€ÇO DE ASSISTÒNCIA MDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANµ;JUDICEMED;AutogestÆo;RUA ALBERTO FOLLONI;543;;AHé;Curitiba;PR;80540000;41;30171600;30171601;JUDICEMED@JUDICEMED.COM.BR;GERALDO DUTRA DE ANDRADE NETO;REPRESENTANTE LEGAL;31/03/2011
314218;6,09752E+13;ASSOCIA€ÇO DE BENEFICÒNCIA E FILANTROPIA SÇO CRISTOVÇO;;Filantropia;RUA AMRICO VENTURA;123;;ALTO DA MOOCA;SÆo Paulo;SP;3128010;11;20297202;20297602;saocristovao@saocristovao.com.br;VALDIR PEREIRA VENTURA;PRESIDENTE CONS. DELIBERATIVO;21/12/1998
422321;3,56573E+13;ASSOCIA€ÇO DE SAéDE DO VALE;LEVMED SAéDE;Medicina de Grupo;RUA EPITµCIO PESSOA;651;;CENTRO;Jaragu  do Sul;SC;89251100;47;35124100;;contato@levmed.com.br;CARLOS CESAR FELIPONI;DIRETOR EXECUTIVO;14/07/2020
418731;1,50224E+13;ASSOCIA€ÇO DE SAéDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÇO;HFC SAéDE;Medicina de Grupo;RUA RAFAEL ALOISI;41;;VILA REZENDE;Piracicaba;SP;13405205;19;34032872;34032872;ADMINISTRACAO@HFCP.COM.BR;JOS CORAL;DIRETOR SUPERINTENDENTE;11/01/2013
357910;1,71158E+12;ASSOCIA€ÇO DE SAUDE DOS POLICIAIS E BOMBEIROS MILITARES DO ESPIRITO SANTO;ASPBMES;AutogestÆo;AVENIDA CARLOS MOREIRA LIMA;648;;BENTO FERREIRA;Vit¢ria;ES;29050672;27;30412803;30412818;aspmes@aspmes.com.br;ROGRIO FERNANDES LIMA;PRESIDENTE DA DIRETORIA EXECUTIVA;29/12/1998
360783;5,90078E+13;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIA€ÇO DE SAéDE HOLAMBRA;Medicina de Grupo;ALAMEDA MAURÖCIO DE NASSAU;241;CX  POSTAL: 130;CENTRO;Holambra;SP;13825000;19;38022049;38022049;ash@holnet.com.br;GILBERTO GUILHERME JOS WIGMAN;PRESIDENTE;03/02/1999
417530;1,19394E+13;ASSOCIA€ÇO DE SAéDE PORTUGUESA DE BENEFICÒNCIA;SAéDE BENEFICÒNCIA;Medicina de Grupo;RUA TIRADENTES;293;CJ 51 A 54 - LOTE 5A;VILA ITAPURA;Campinas;SP;13023190;19;35001500;;diretoria@saudebeneficencia.com.br;ARLY DE LARA ROMÒO;REPRESENTANTE;02/09/2010
393533;1,2317E+13;ASSOCIA€ÇO DO FISCO DE ALAGOAS;;AutogestÆo;RUA ARTUR VITAL DA SILVA;58;;GRUTA DE LOURDES;Macei¢;AL;57052260;82;33383494;33381846;presidencia@asfal.com.br;GUSTAVO DE ALBUQUERQUE CALHEIROS;DIRETOR PRESIDENTE;28/12/1998
420000;1,57131E+13;ASSOCIA€ÇO DO PLANO DE SAéDE DA SANTA CASA DE MISERICàRDIA DE ITABUNA - PLANSUL;PLANSUL;Medicina de Grupo;RUA SANTA CRUZ;s/n;HOSPITAL MANOEL NOVAIS;BAIRRO DE FµTIMA;Itabuna;BA;45603305;73;32143800;32143801;PLANSUL@PLANSULSCMI.COM.BR;CELSO ROBERTO DOS SANTOS;GESTOR;15/12/2015
418021;1,30012E+13;ASSOCIA€ÇO DO PLANO DE SAéDE DA SANTA CASA DE SANTOS;PLANO SANTA CASA SAéDE;Medicina de Grupo;RUA DR. ANTâNIO BENTO;162;TRREO;VILA MATHIAS;Santos;SP;11075260;13;32110602;;supervisao@planoscs.com.br;AUGUSTO CAPODICASA;SUPERINTENDENTE;20/04/2011
317632;6,2636E+13;ASSOCIA€ÇO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÇO PAULO- AFRESP;ASSOCIA€ÇO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP;AutogestÆo;AV. BRIGADEIRO LUIZ ANTONIO;4843;;JARDIM PAULISTA;SÆo Paulo;SP;1401002;1;138868800;138868886;ans@afresp.org.br;JANAÖNA CORAL ZACARCHENCO;2¦ TESOUREIRA;16/12/1998
